essentialMetaboliteDegradationRate,essentialMetaboliteKm,essentialMetaboliteProductionRate,measure,muMax,chainId
0.5,50.0,2.0,-0.01389261162658859,0.6931471805599453,1
1.6222625046683274,269.56202235553326,1.7906371489452426,-0.18337136157461528,1.089232375691199,1
1.6448499697966885,616.6007588268967,4.207524347759899,-0.11870313443746776,1.1655764571580671,1
2.0449631752178346,382.7005233998869,1.02256735969394,-0.45453121827177323,1.3118306220729008,1
4.017967027563164,955.8659125230486,0.8325862408586334,-0.04298971560619844,1.0397656035019525,1
2.5804186285659187,890.1932598512404,1.3904077063699765,-0.22715066414438526,1.834420043155657,1
4.208442682055251,461.8185252842854,3.923498326322334,-0.06930191800323746,1.8291523511418029,1
0.5525595426188699,776.9262111248555,0.8774712837884382,0.04146893876170285,1.3072958773684527,1
0.5089665408662072,464.1959382628959,4.062311485940283,0.07223829545100392,1.80278807256891,1
1.9291200120821759,878.8246526200653,2.966106885869517,-0.28528999892762275,1.2178036516624169,1
4.7517283172685545,288.24589537040634,3.9456088782587884,-0.7542121303420817,1.5158933962289938,1
2.8899908138183643,942.6157039307014,0.815349807974222,-0.14320635832744502,1.6616234920556925,1
2.3358683327339036,722.3947683763217,3.384583542004012,-0.17955813182280475,0.7595947991125703,1
3.7012152011581705,704.9409089182434,4.8444800181765935,0.38147584167773957,1.463677172194977,1
4.271152903207042,693.3641861117788,0.26154849843224326,-0.05642549768482618,1.5431649985747984,1
3.9516774616965065,42.68314927490037,0.8067832443273755,-0.347890597270338,1.628739881959794,1
0.588447594864145,612.1914342326771,1.9141627381412591,0.20900920550693292,1.9025003980096657,1
3.1031132189609187,508.7114108366022,2.4343323528173637,-0.2681902009959877,0.5026802997182604,1
3.1539299122637887,483.5578668860595,1.0447634657783667,-0.12892076907233876,0.9286921669261967,1
1.3006310946653654,773.8329288213164,3.5433639481305206,-0.3491104231504636,0.7535017602727951,1
1.4118231782845942,168.90354822837014,3.1266647130692276,0.08536635271740252,1.242309993882865,1
0.9216987645962128,786.515449913822,3.609021642242226,-0.21342568241616125,1.5000426873876551,1
4.0703967409216535,189.1226217594487,4.870081286148186,0.399556942150505,0.763058563481668,1
3.7972027910553665,579.489805908382,3.6661223427542127,0.10062490670923356,1.649891560120479,1
3.5133418882336875,138.54148854573654,0.12033130765639327,-0.04842989761872435,1.1098123265537232,1
3.3423212918343195,39.69208417759087,4.883354738142402,0.4584660406914922,0.5693658561590598,1
0.9906372819148404,583.9476540269362,2.6302854906718247,0.21005367408638967,1.0685273340150718,1
0.8055900142344645,916.4666123591498,1.9786477193517709,0.29350879471750935,1.4249168667822496,1
2.9670210325437516,286.20417459436453,2.283255188029739,0.46130896958413525,1.4932740173816401,1
3.1271909139255345,497.2094378122434,1.3598941126161135,-0.2743851243836087,1.1454916596496827,1
